Name,InChIKey,Mix label,Exact Mass,Formula,[M+H]+,[M+NH4]+,[M+Na]+
Naringin,DFPMSGMNTNDNHN-ZPHOTFPESA-N,GC LIB 6,580.17921,C27H32O14,581.1864867,598.2130267,603.1684267
N-Carbamyl-L-Glutamic Acid,LCQLHJZYVOQKHU-VKHMYHEASA-N,GC LIB 6,190.05897,C6H10N2O5,191.0662524,208.0927924,213.0481924
N-Ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,GC LIB 6,103.06333,C4H9NO2,104.0706095,121.0971495,126.0525495
Nω-Acetylhistamine,XJWPISBUKWZALE-UHFFFAOYSA-N,GC LIB 6,153.09021,C7H11N3O,154.097493,171.124033,176.079433
P-Cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,GC LIB 6,108.05751,C7H8O,109.0647959,126.0913359,131.0467359
Phlorobenzophenone,CPEXFJVZFNYXGU-UHFFFAOYSA-N,GC LIB 6,230.05791,C13H10O4,231.0651898,248.0917298,253.0471298
Phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,GC LIB 6,317.29299,C18H39NO3,318.3002751,335.3268151,340.2822151
(-)-Dihydrocarveol,KRCZYMFUWVJCLI-OPRDCNLKSA-N,GC LIB 7,154.13577,C10H18O,155.1430462,172.1695862,177.1249862
(-)-Epicatechin,PFTAWBLQPZVEMU-UKRRQHHQSA-N,GC LIB 7,290.07904,C15H14O6,291.0863192,308.1128592,313.0682592
2-Keto-L-Gulonic Acid,VBUYCZFBVCCYFD-NUNKFHFFSA-N,GC LIB 7,194.04265,C6H10O7,195.0499337,212.0764737,217.0318737
2-Phenylacetamide,LSBDFXRDZJMBSC-UHFFFAOYSA-N,GC LIB 7,135.06841,C8H9NO,136.0756949,153.1022349,158.0576349
5-Aminoimidazole-4-Carboxamide,DVNYTAVYBRSTGK-UHFFFAOYSA-N,GC LIB 7,126.05416,C4H6N4O,127.0614418,144.0879818,149.0433818
9-Phenanthrenol,DZKIUEHLEXLYKM-UHFFFAOYSA-N,GC LIB 7,194.07316,C14H10O,195.0804459,212.1069859,217.0623859
Acetol,XLSMFKSTNGKWQX-UHFFFAOYSA-N,GC LIB 7,74.03678,C3H6O2,75.04406043,92.07060043,97.02600043
Alpha-Santonin,XJHDMGJURBVLLE-BOCCBSBMSA-N,GC LIB 7,246.12559,C15H18O3,247.1328754,264.1594154,269.1148154
Daidzein,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,GC LIB 7,254.05791,C15H10O4,255.0651898,272.0917298,277.0471298
Farnesal,YHRUHBBTQZKMEX-YFVJMOTDSA-N,GC LIB 7,220.18272,C15H24O,221.1899964,238.2165364,243.1719364
Glycyl-L-Tyrosine,XBGGUPMXALFZOT-VIFPVBQESA-N,GC LIB 7,238.09536,C11H14N2O4,239.1026379,256.1291779,261.0845779
Lactamide,SXQFCVDSOLSHOQ-UHFFFAOYSA-N,GC LIB 7,89.04768,C3H7NO2,90.05495947,107.0814995,112.0368995
Maltotriose,FYGDTMLNYKFZSV-DZOUCCHMSA-N,GC LIB 7,504.16903,C18H32O16,505.1763159,522.2028559,527.1582559
N-Acetyl-D-Glucosamine,OVRNDRQMDRJTHS-UHFFFAOYSA-N,GC LIB 7,221.08994,C8H15NO6,222.0972182,239.1237582,244.0791582
P-Anisic Acid,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,GC LIB 7,152.04734,C8H8O3,153.0546251,170.0811651,175.0365651
Piperine,MXXWOMGUGJBKIW-YPCIICBESA-N,GC LIB 7,285.13649,C17H19NO3,286.1437745,303.1703145,308.1257145
Sinapyl Alcohol,LZFOPEXOUVTGJS-ONEGZZNKSA-N,GC LIB 7,210.08921,C11H14O4,211.0964899,228.1230299,233.0784299
Trans-Dehydroandrosterone,FMGSKLZLMKYGDP-USOAJAOKSA-N,GC LIB 7,288.20893,C19H28O2,289.2162111,306.2427511,311.1981511
Vitexin,SGEWCQFRYRRZDC-VPRICQMDSA-N,GC LIB 7,432.10565,C21H20O10,433.1129278,450.1394678,455.0948678
Xanthotoxin,QXKHYNVANLEOEG-UHFFFAOYSA-N,GC LIB 7,216.04226,C12H8O4,217.0495397,234.0760797,239.0314797
"1,4-Cyclohexanedione",DCZFGQYXRKMVFG-UHFFFAOYSA-N,GC LIB 8,112.05243,C6H8O2,113.0597105,130.0862505,135.0416505
1-Methyl-L-Tryptophan,ZADWXFSZEAPBJS-JTQLQIEISA-N,GC LIB 8,218.10553,C12H14N2O2,219.1128087,236.1393487,241.0947487
2-Hydroxyacetophenone,ZWVHTXAYIKBMEE-UHFFFAOYSA-N,GC LIB 8,136.05243,C8H8O2,137.0597105,154.0862505,159.0416505
2-Hydroxycinnamic Acid,PMOWTIHVNWZYFI-AATRIKPKSA-N,GC LIB 8,164.04734,C9H8O3,165.0546251,182.0811651,187.0365651
3-Aminopropionitrile,AGSPXMVUFBBBMO-UHFFFAOYSA-N,GC LIB 8,70.0531,C3H6N2,71.0603792,88.0869192,93.0423192
4-Aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,GC LIB 8,109.05276,C6H7NO,110.0600448,127.0865848,132.0419848
4-Hydroxy-3-Methoxycinnamaldehyde,DKZBBWMURDFHNE-NSCUHMNNSA-N,GC LIB 8,178.06299,C10H10O3,179.0702752,196.0968152,201.0522152
4-Isopropylbenzoic Acid,CKMXAIVXVKGGFM-UHFFFAOYSA-N,GC LIB 8,164.08373,C10H12O2,165.0910106,182.1175506,187.0729506
"5,6 - Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,GC LIB 8,146.0844,C9H10N2,147.0916793,164.1182193,169.0736193
Biuret,OHJMTUPIZMNBFR-UHFFFAOYSA-N,GC LIB 8,103.03818,C2H5N3O2,104.0454574,121.0719974,126.0273974
Carbazole,UJOBWOGCFQCDNV-UHFFFAOYSA-N,GC LIB 8,167.0735,C12H9N,168.0807803,185.1073203,190.0627203
Chlorogenic Acid,CWVRJTMFETXNAD-JUHZACGLSA-N,GC LIB 8,354.09508,C16H18O9,355.1023632,372.1289032,377.0843032
Citral,WTEVQBCEXWBHNA-JXMROGBWSA-N,GC LIB 8,152.12012,C10H16O,153.1273961,170.1539361,175.1093361
D-Ribose-5-Phosphate,KTVPXOYAKDPRHY-SOOFDHNKSA-N,GC LIB 8,230.01915,C5H11O8P,231.0264353,248.0529753,253.0083753
Kaempferol,IYRMWMYZSQPJKC-UHFFFAOYSA-N,GC LIB 8,286.04774,C15H10O6,287.055019,304.081559,309.036959
L-Dithiothreitol,VHJLVAABSRFDPM-IMJSIDKUSA-N,GC LIB 8,154.01222,C4H10O2S2,155.0195029,172.0460429,177.0014429
Liquiritigenin,FURUXTVZLHCCNA-AWEZNQCLSA-N,GC LIB 8,256.07356,C15H12O4,257.0808399,274.1073799,279.0627799
Naphthalene,UFWIBTONFRDIAS-UHFFFAOYSA-N,GC LIB 8,128.0626,C10H8,129.0698813,146.0964213,151.0518213
Pyridoxal 5′-Phosphate,NGVDGCNFYWLIFO-UHFFFAOYSA-N,GC LIB 8,247.02457,C8H10NO6P,248.031855,265.058395,270.013795
Tyrosine Methyl Ester,MWZPENIJLUWBSY-VIFPVBQESA-N,GC LIB 8,195.08954,C10H13NO3,196.0968243,213.1233643,218.0787643
2-Hydroxychalcone,UDOOPSJCRMKSGL-ZHACJKMWSA-N,GC LIB 9,224.08373,C15H12O2,225.0910106,242.1175506,247.0729506
"3,5-Dimethoxy-4-Hydroxycinnamic Acid",PCMORTLOPMLEFB-ONEGZZNKSA-M,GC LIB 9,223.0612,C11H11O5,224.0679295,241.0944695,246.0498695
4-Hydroxyquinoline,PMZDQRJGMBOQBF-UHFFFAOYSA-N,GC LIB 9,145.05276,C9H7NO,146.0600448,163.0865848,168.0419848
9-Hydroxyfluorene,AFMVESZOYKHDBJ-UHFFFAOYSA-N,GC LIB 9,182.07316,C13H10O,183.0804459,200.1069859,205.0623859
Benzoylformic Acid,FAQJJMHZNSSFSM-UHFFFAOYSA-N,GC LIB 9,150.03169,C8H6O3,151.0389751,168.0655151,173.0209151
Dihydrocoumarin,VMUXSMXIQBNMGZ-UHFFFAOYSA-N,GC LIB 9,148.05243,C9H8O2,149.0597105,166.0862505,171.0416505
"Dl-3,4-Dihydroxyphenyl Glycol",MTVWFVDWRVYDOR-UHFFFAOYSA-N,GC LIB 9,170.05791,C8H10O4,171.0651898,188.0917298,193.0471298
Dl-Threo-Beta-Hydroxyaspartic Acid,YYLQUHNPNCGKJQ-LWMBPPNESA-N,GC LIB 9,149.03242,C4H7NO5,150.0397033,167.0662433,172.0216433
D-Panthenol,SNPLKNRPJHDVJA-ZETCQYMHSA-N,GC LIB 9,205.13141,C9H19NO4,206.1386891,223.1652291,228.1206291
D-Tagatose,LKDRXBCSQODPBY-OEXCPVAWSA-N,GC LIB 9,180.06339,C6H12O6,181.0706691,198.0972091,203.0526091
Glycyl-Tyrosyl-Alanine,UIQGJYUEQDOODF-KWQFWETISA-N,GC LIB 9,309.13247,C14H19N3O5,310.1397517,327.1662917,332.1216917
Indole-3-Carbinol,IVYPNXXAYMYVSP-UHFFFAOYSA-N,GC LIB 9,147.06841,C9H9NO,148.0756949,165.1022349,170.0576349
L-Gulonic Acid Γ-Lactone,SXZYCXMUPBBULW-UHFFFAOYSA-N,GC LIB 9,178.04774,C6H10O6,179.055019,196.081559,201.036959
Methyl Cinnamate,CCRCUPLGCSFEDV-BQYQJAHWSA-N,GC LIB 9,162.06808,C10H10O2,163.0753606,180.1019006,185.0573006
N-Acetyl-L-Histidine,KBOJOGQFRVVWBH-ZETCQYMHSA-N,GC LIB 9,197.08004,C8H11N3O3,198.0873222,215.1138622,220.0692622
N-Methylanthranilic Acid,WVMBPWMAQDVZCM-UHFFFAOYSA-N,GC LIB 9,151.06333,C8H9NO2,152.0706095,169.0971495,174.0525495
Piceatannol,CDRPUGZCRXZLFL-OWOJBTEDSA-N,GC LIB 9,244.07356,C14H12O4,245.0808399,262.1073799,267.0627799
Synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,GC LIB 9,167.09463,C9H13NO2,168.1019097,185.1284497,190.0838497
Trans-3-Hydroxy-L-Proline,BJBUEDPLEOHJGE-IMJSIDKUSA-N,GC LIB 9,131.05824,C5H9NO3,132.0655242,149.0920642,154.0474642
Uridine-5'-diphosphate galactose,HSCJRCZFDFQWRP-ABVWGUQPSA-N,Inventory 1,566.05502,C15H24N2O17P2,567.0623023,584.0888423,589.0442423
5-Methylcytidine,ZAYHVCMSTBRABG-JXOAFFINSA-N,Inventory 1,257.10117,C10H15N3O5,258.1084516,275.1349916,280.0903916
3-Phenyllactic acid,VOXXWSYKYCBWHO-QMMMGPOBSA-N,Inventory 1,166.06299,C9H10O3,167.0702752,184.0968152,189.0522152
4-Methylumbelliferyl acetate,HXVZGASCDAGAPS-UHFFFAOYSA-N,Inventory 1,218.05791,C12H10O4,219.0651898,236.0917298,241.0471298
17α-Ethynylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,Inventory 1,296.17763,C20H24O2,297.184911,314.211451,319.166851
alpha-Hydroxyhippuric acid,GCWCVCCEIQXUQU-UHFFFAOYSA-N,Inventory 1,195.05316,C9H9NO4,196.0604388,213.0869788,218.0423788
Fucoxanthin,SJWWTRQNNRNTPU-ABBNZJFMSA-N,Inventory 1,658.42334,C42H58O6,659.4306206,676.4571606,681.4125606
"1,3,7-Trimethyluric acid",BYXCFUMGEBZDDI-UHFFFAOYSA-N,Inventory 1,210.07529,C8H10N4O3,211.0825712,228.1091112,233.0645112
Gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,Inventory 1,170.02152,C7H6O5,171.0288043,188.0553443,193.0107443
Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,Inventory 1,305.19909,C18H27NO3,306.2063747,323.2329147,328.1883147
Phenethylamine,BHHGXPLMPWCGHP-UHFFFAOYSA-N,Inventory 1,121.08915,C8H11N,122.0964304,139.1229704,144.0783704
Syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,Inventory 1,198.05282,C9H10O5,199.0601044,216.0866444,221.0420444
N-(2-Furoyl)glycine,KSPQDMRTZZYQLM-UHFFFAOYSA-N,Inventory 1,169.03751,C7H7NO4,170.0447887,187.0713287,192.0267287
Carboxyibuprofen,DIVLBIVDYADZPL-UHFFFAOYSA-N,Inventory 1,236.10486,C13H16O4,237.11214,254.13868,259.09408
3-Methyladipic acid,SYEOWUNSTUDKGM-UHFFFAOYSA-N,Inventory 1,160.07356,C7H12O4,161.0808399,178.1073799,183.0627799
2-Myristoylglycerol,TVIMZSOUQXNWHO-UHFFFAOYSA-N,Inventory 1,302.24571,C17H34O4,303.2529906,320.2795306,325.2349306
Levamisole,HLFSDGLLUJUHTE-SNVBAGLBSA-N,Inventory 1,204.07212,C11H12N2S,205.0794006,222.1059406,227.0613406
Resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Inventory 1,228.07864,C14H12O3,229.0859252,246.1124652,251.0678652
"1,4-Cyclohexanedicarboxylic acid",PXGZQGDTEZPERC-UHFFFAOYSA-N,Inventory 1,172.07356,C8H12O4,173.0808399,190.1073799,195.0627799
Methylsuccinic acid,WXUAQHNMJWJLTG-UHFFFAOYSA-N,Inventory 1,132.04226,C5H8O4,133.0495397,150.0760797,155.0314797
1-Acetylimidazole,VIHYIVKEECZGOU-UHFFFAOYSA-N,Inventory 1,110.04801,C5H6N2O,111.0552938,128.0818338,133.0372338
Dihydrozeatin,XXFACTAYGKKOQB-UHFFFAOYSA-N,Inventory 1,221.12766,C10H15N5O,222.1349411,239.1614811,244.1168811
"2,8-Quinolinediol",ZXZKYYHTWHJHFT-UHFFFAOYSA-N,Inventory 2,161.04768,C9H7NO2,162.0549595,179.0814995,184.0368995
Coumarin,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,Inventory 2,146.03678,C9H6O2,147.0440604,164.0706004,169.0260004
3-Guanidinopropionic acid,KMXXSJLYVJEBHI-UHFFFAOYSA-N,Inventory 2,131.06948,C4H9N3O2,132.0767575,149.1032975,154.0586975
N-Acetyl-epsilon-caprolactam,QISSLHPKTCLLDL-UHFFFAOYSA-N,Inventory 2,155.09463,C8H13NO2,156.1019097,173.1284497,178.0838497
Prostaglandin E1,GMVPRGQOIOIIMI-DWKJAMRDSA-N,Inventory 2,354.24062,C20H34O5,355.2479052,372.2744452,377.2298452
Octadecanedioic acid,BNJOQKFENDDGSC-UHFFFAOYSA-N,Inventory 2,314.24571,C18H34O4,315.2529906,332.2795306,337.2349306
"1,7-Dimethyluric acid",NOFNCLGCUJJPKU-UHFFFAOYSA-N,Inventory 2,196.05964,C7H8N4O3,197.0669211,214.0934611,219.0488611
Dimethyl phthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,Inventory 2,194.05791,C10H10O4,195.0651898,212.0917298,217.0471298
Famotidine,XUFQPHANEAPEMJ-UHFFFAOYSA-N,Inventory 2,337.04494,C8H15N7O2S3,338.0522173,355.0787573,360.0341573
2-Palmitoylglycerol,BBNYCLAREVXOSG-UHFFFAOYSA-N,Inventory 2,330.27701,C19H38O4,331.2842907,348.3108307,353.2662307
Loratadine,JCCNYMKQOSZNPW-UHFFFAOYSA-N,Inventory 2,382.14481,C22H23ClN2O2,383.1520867,400.1786267,405.1340267
Tyr-Tyr,JAQGKXUEKGKTKX-HOTGVXAUSA-N,Inventory 2,344.13722,C18H20N2O5,345.1445028,362.1710428,367.1264428
Omeprazole,SUBDBMMJDZJVOS-UHFFFAOYSA-N,Inventory 2,345.11471,C17H19N3O3S,346.1219937,363.1485337,368.1039337
"6,7-Dihydroxycoumarin",ILEDWLMCKZNDJK-UHFFFAOYSA-N,Inventory 2,178.02661,C9H6O4,179.0338897,196.0604297,201.0158297
Carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,Inventory 2,236.09496,C15H12N2O,237.102244,254.128784,259.084184
2-alpha-Mannobiose,HIWPGCMGAMJNRG-VXSGSMIHSA-N,Inventory 2,342.11621,C12H22O11,343.1234925,360.1500325,365.1054325
Adrenosterone,RZRPTBIGEANTGU-IRIMSJTPSA-N,Inventory 2,300.17254,C19H24O3,301.1798256,318.2063656,323.1617656
Abietic Acid,RSWGJHLUYNHPMX-ONCXSQPRSA-N,Inventory 2,302.22458,C20H30O2,303.2318612,320.2584012,325.2138012
Erucamide,UAUDZVJPLUQNMU-KTKRTIGZSA-N,Inventory 2,337.33446,C22H43NO,338.341746,355.368286,360.323686
Corydaline,VRSRXLJTYQVOHC-YEJXKQKISA-N,Inventory 2,369.19401,C22H27NO4,370.2012894,387.2278294,392.1832294
"1,7-Dimethylxanthine",QUNWUDVFRNGTCO-UHFFFAOYSA-N,Inventory 2,180.06473,C7H8N4O2,181.0720065,198.0985465,203.0539465
Tadalafil,WOXKDUGGOYFFRN-IIBYNOLFSA-N,Inventory 2,389.13756,C22H19N3O4,390.1448371,407.1713771,412.1267771
Eberconazole,MPTJIDOGFUQSQH-UHFFFAOYSA-N,Pandemic 1,328.0534,C18H14Cl2N2,329.0606848,346.0872248,351.0426248
4-Butyl-N-(5-methyl-3-isoxazolyl)benzenesulfonamide,TYHDHPUAOQCPDZ-UHFFFAOYSA-N,Pandemic 1,294.10381,C14H18N2O3S,295.1110946,312.1376346,317.0930346
Isavuconazonium,RSWOJTICKMKTER-QXLBVTBOSA-N,Pandemic 1,717.24137,C35H35F2N8O5S,718.2491998,735.2757398,740.2311398
Oteseconazole,IDUYJRXRDSPPRC-NRFANRHFSA-N,Pandemic 1,527.11922,C23H16F7N5O2,528.1265029,545.1530429,550.1084429
Itraconazole,VHVPQPYKVGDNFY-UHFFFAOYSA-N,Pandemic 1,704.23931,C35H38Cl2N8O4,705.2465881,722.2731281,727.2285281
1-Naphthalenepropanamide,SCTKIRVLFRCMEU-AREMUKBSSA-N,Pandemic 1,452.22123,C28H28N4O2,453.2285072,470.2550472,475.2104472
Furvina,MJPPGVVIDGQOQT-HWKANZROSA-N,Pandemic 1,294.84797,C6H3Br2NO3,295.8552492,312.8817892,317.8371892
"1-(4-Chlorophenyl)-2-(1H-imidazol-1-yl)-3-(2,4-dichlorophenyl)-2-propen-1-one",NHUBNGBTNGRPMH-MFOYZWKCSA-N,Pandemic 1,375.993696,C18H11Cl3N2O,377.000977,394.027517,398.982917
Ciclopirox,SCKYRAXSEDYPSA-UHFFFAOYSA-N,Pandemic 1,207.12593,C12H17NO2,208.1332098,225.1597498,230.1151498
Pafuramidine,UKOQVLAXCBRRGH-UHFFFAOYSA-N,Pandemic 1,364.15354,C20H20N4O3,365.1608215,382.1873615,387.1427615
Butenafine,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,Pandemic 1,317.21435,C23H27N,318.2216309,335.2481709,340.2035709
Ketoconazole,XMAYWYJOQHXEEK-UHFFFAOYSA-N,Pandemic 1,530.14876,C26H28Cl2N4O4,531.1560418,548.1825818,553.1379818
Ravuconazole,OPAHEYNNJWPQPX-RCDICMHDSA-N,Pandemic 1,437.11219,C22H17F2N5OS,438.1194687,455.1460087,460.1014087
"N-epoxymethyl-1,8-naphthalimide",TVMJTOKZNPCXOO-UHFFFAOYSA-N,Pandemic 1,253.0738932,C15H11NO3,254.0811742,271.1077142,276.0631142
Oxfendazole,BEZZFPOZAYTVHN-UHFFFAOYSA-N,Pandemic 1,315.06776,C15H13N3O3S,316.0750435,333.1015835,338.0569835
Alexidine,LFVVNPBBFUSSHL-UHFFFAOYSA-N,Pandemic 1,508.46894,C26H56N10,509.4762228,526.5027628,531.4581628
Fenbendazole,HDDSHPAODJUKPD-UHFFFAOYSA-N,Pandemic 1,299.07285,C15H13N3O2S,300.0801288,317.1066688,322.0620688
Fluconazole,RFHAOTPXVQNOHP-UHFFFAOYSA-N,Pandemic 1,306.10407,C13H12F2N6O,307.1113464,324.1378864,329.0932864
"5-chloro-1-hydroxy-3H-2,1-benzoxaborole",HMAFTPZYFJFEHK-UHFFFAOYSA-N,Pandemic 1,168.0149375,C7H6BClO2,169.0222185,186.0487585,191.0041585
Terbinafine,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,Pandemic 1,291.1987,C21H25N,292.2059808,309.2325208,314.1879208
"2-[4-(cyclohexylmethyl)piperazin-1-yl]-8-nitro-6-(trifluoromethyl)-1,3-benzothiazin-4-one",BJDZBXGJNBMCAV-UHFFFAOYSA-N,Pandemic 10,456.1442963,C20H23F3N4O3S,457.1515773,474.1781173,479.1335173
"6-chloro-2-ethyl-N-[[4-[4-[4-(trifluoromethoxy)phenyl]piperidin-1-yl]phenyl]methyl]imidazo[1,2-a]pyridine-",OJICYBSWSZGRFB-UHFFFAOYSA-N,Pandemic 10,556.1852885,C29H28ClF3N4O2,557.1925693,574.2191093,579.1745093
6-methoxy-2-phenyl-1H-quinolin-4-one,CKFBIYVXNYYXAI-UHFFFAOYSA-N,Pandemic 10,251.0946287,C16H13NO2,252.1019097,269.1284497,274.0838497
"2-(1,3-dioxoisoindol-2-yl)-3-(1H-indol-3-yl)propanoic acid",HPTXLHAHLXOAKV-UHFFFAOYSA-N,Pandemic 10,334.09536,C19H14N2O4,335.1026379,352.1291779,357.0845779
"N-(1H-1,3-Benzodiazol-2-yl)-2-(2-fluorophenyl)acetamide",OKEPRRXQHJGLCL-UHFFFAOYSA-N,Pandemic 10,269.0964402,C15H12FN3O,270.1037212,287.1302612,292.0856612
1-phenyl-3-[4-(phenylsulfamoyl)phenyl]thiourea,HNDRSTUKPCLQLT-UHFFFAOYSA-N,Pandemic 10,383.07622,C19H17N3O2S2,384.0835001,401.1100401,406.0654401
"4-chloro-N-(4-fluorophenyl)-6-oxo-1-phenyl-1,6-dihydropyridazine-3-carboxamide",OKEYEGFUDUETQP-UHFFFAOYSA-N,Pandemic 10,343.05238,C17H11ClFN3O2,344.0596635,361.0862035,366.0416035
"2,3-Dibromomaleinimide",BIKSKRPHKQWJCW-UHFFFAOYSA-N,Pandemic 10,252.8374,C4HBr2NO2,253.8446845,270.8712245,275.8266245
Brilacidin,QPDYBCZNGUJZDK-DNQXCXABSA-N,Pandemic 10,936.39419,C40H50F6N14O6,937.4014754,954.4280154,959.3834154
"4-methyl-1-phenethyl-8-phenoxy-2,3-dihydro-1H-pyrrolo[3,2-c]quinoline",XCZMUTGHJBFKPM-UHFFFAOYSA-N,Pandemic 10,380.1888634,C26H24N2O,381.1961444,398.2226844,403.1780844
Clindamycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,Pandemic 10,424.17987,C18H33ClN2O5S,425.187152,442.213692,447.169092
Secnidazole,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Pandemic 10,185.08004,C7H11N3O3,186.0873222,203.1138622,208.0692622
"[5-(4-ethylphenyl)-7-(trifluoromethyl)(4H,5H,6H,7H-pyrazolo[1,5-a]1,3-diazaper",YSDVNFWVVPHGFX-UHFFFAOYSA-N,Pandemic 10,458.1929607,C24H25F3N4O2,459.2002416,476.2267816,481.1821816
Ethambutol,AEUTYOVWOVBAKS-UWVGGRQHSA-N,Pandemic 10,204.18378,C10H24N2O2,205.191059,222.217599,227.172999
2-benzyl-3-hydroxy-5-oxo-N-(4-phenylphenyl)-2H-furan-4-carboxamide,WDOCLCVTCSESMZ-UHFFFAOYSA-N,Pandemic 10,385.13141,C24H19NO4,386.1386891,403.1652291,408.1206291
"2,6-Dimethyl-N-(3-pyridin-2-yl-isoquinolin-1-yl)-benzamide",HKEJNATYDZLNIG-UHFFFAOYSA-N,Pandemic 10,353.1528122,C23H19N3O,354.1600932,371.1866332,376.1420332
3-phenyl-5-sulfamoyl-1H-indole-2-carboxamide,QMGMALTZHHCWGS-UHFFFAOYSA-N,Pandemic 10,315.06776,C15H13N3O3S,316.0750435,333.1015835,338.0569835
Propargyl,LZRXPKDKRFTIGM-UHFFFAOYSA-N,Pandemic 10,252.1375,C15H16N4,253.1447775,270.1713175,275.1267175
N-[2-[4-[5-(2-amino-1H-imidazol-5-yl)pentyl]triazol-1-yl]ethyl]-4-pentylbenzamide,WFHHOSJOWHWDDB-UHFFFAOYSA-N,Pandemic 10,437.2903087,C24H35N7O,438.2975898,455.3241298,460.2795298
"N-benzyl-2,7-dimethylimidazo[1,2-a]pyridine-3-carboxamide",URVCVNNBOXIDES-UHFFFAOYSA-N,Pandemic 10,279.1371622,C17H17N3O,280.1444432,297.1709832,302.1263832
(S)-N-(2-oxotetrahydrofuran-3-yl)-2-m-tolylacetamide,DQRBXMBMLZLMHX-NSHDSACASA-N,Pandemic 11,233.1051933,C13H15NO3,234.1124743,251.1390143,256.0944143
"5-Bromo-6-(4-nitro-imidazol-1-ylmethyl)-1H-pyrimidine-2,4-dione",FZZLPTYUKLCVJS-UHFFFAOYSA-N,Pandemic 11,314.9603158,C8H6BrN5O4,315.9675973,332.9941373,337.9495373
2-phenyl-1H-benzimidazol-5-ol,KRFPGLOJAGPDAA-UHFFFAOYSA-N,Pandemic 11,210.07931,C13H10N2O,211.086594,228.113134,233.068534
Diphyllin,VMEJANRODATDOF-UHFFFAOYSA-N,Pandemic 11,380.0896,C21H16O7,381.0968839,398.1234239,403.0788239
Chloroquine,WHTVZRBIWZFKQO-UHFFFAOYSA-N,Pandemic 11,319.18153,C18H26ClN3,320.1888065,337.2153465,342.1707465
Valdecoxib,LNPDTQAFDNKSHK-UHFFFAOYSA-N,Pandemic 11,314.07251,C16H14N2O3S,315.0797945,332.1063345,337.0617345
"N-[5-(4-chlorophenyl)-1,3,4-oxadiazol-2-yl]-1,3-benzothiazole-2-carboxamide",UXZRTYHETXEXGZ-UHFFFAOYSA-N,Pandemic 11,356.01347,C16H9ClN4O2S,357.0207554,374.0472954,379.0026954
7-[phenyl-(pyridin-2-ylamino)methyl]quinolin-8-ol,WHPVVFZPXKODBB-UHFFFAOYSA-N,Pandemic 11,327.13716,C21H17N3O,328.1444432,345.1709832,350.1263832
N-(1-adamantyl)-1H-indole-2-carboxamide,YGUDSHJNJUBIHP-UHFFFAOYSA-N,Pandemic 11,294.17321,C19H22N2O,295.1804943,312.2070343,317.1624343
8-p-Tosylaminoquinoline,ZSMKPYXVUIWTCT-UHFFFAOYSA-N,Pandemic 11,298.0776,C16H14N2O2S,299.0848799,316.1114199,321.0668199
Mepenzolate,GKNPSSNBBWDAGH-UHFFFAOYSA-N,Pandemic 11,340.19072,C21H26NO3,341.1985497,358.2250897,363.1804897
Ecabet,IWCWQNVIUXZOMJ-MISYRCLQSA-N,Pandemic 11,380.16574,C20H28O5S,381.1730262,398.1995662,403.1549662
"N-[(4-methoxyphenyl)methyl]-3-methyl-2-[(2-methyl-1,3-benzothiazol-6-yl)sulfonylamino]butanamide",BIBHQRGCGJCTRJ-UHFFFAOYSA-N,Pandemic 11,447.1286483,C21H25N3O4S2,448.1359296,465.1624696,470.1178696
Pyrazinamide,IPEHBUMCGVEMRF-UHFFFAOYSA-N,Pandemic 11,123.04326,C5H5N3O,124.0505428,141.0770828,146.0324828
Lansoprazole,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Pandemic 11,369.07588,C16H14F3N3O2S,370.0831634,387.1097034,392.0651034
"4-(benzylamino)-5-chloro-2,6-difluoro-benzene-1,3-dicarbonitrile",FJLRLRNXJLDEIR-UHFFFAOYSA-N,Pandemic 11,303.0374814,C15H8ClF2N3,304.0447623,321.0713023,326.0267023
"5-[(8-ethyl-1,4-dimethyl-3,4-dihydro-2H-quinolin-6-yl)methyl]pyrimidine-2,4-diamine",ROFHCHDLNGIYAX-UHFFFAOYSA-N,Pandemic 11,311.211,C18H25N5,312.2182768,329.2448168,334.2002168
